         296499595 function calls (296492157 primitive calls) in 164.738 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    425/1    0.011    0.000  164.738  164.738 {built-in method builtins.exec}
        1    0.016    0.016  164.738  164.738 model_comprehension1.py:2(<module>)
        1    0.001    0.001  164.395  164.395 model_comprehension1.py:401(main)
       26    0.004    0.000  163.818    6.301 model_comprehension1.py:264(modelisation)
      405    8.571    0.021  162.789    0.402 model_comprehension1.py:38(get_closest_neighbors)
 12354389   16.224    0.000  135.487    0.000 model_comprehension1.py:63(get_correspondance_score)
 24717401   58.858    0.000  106.978    0.000 linalg.py:2103(norm)
 37072492   29.663    0.000   29.663    0.000 {built-in method numpy.core.multiarray.dot}
 12278974   14.754    0.000   19.554    0.000 {built-in method builtins.min}
 24718103   10.461    0.000   10.461    0.000 {method 'ravel' of 'numpy.ndarray' objects}
 24717427    5.182    0.000   10.260    0.000 numeric.py:424(asarray)
 24717401    4.674    0.000    7.098    0.000 linalg.py:110(isComplexType)
49437524/49437458    5.392    0.000    5.393    0.000 {built-in method builtins.issubclass}
 24718939    5.080    0.000    5.080    0.000 {built-in method numpy.core.multiarray.array}
 61387770    4.800    0.000    4.800    0.000 model_comprehension1.py:45(<lambda>)
      405    0.089    0.000    1.009    0.002 model_comprehension1.py:89(integration)
    598/4    0.003    0.000    0.328    0.082 <frozen importlib._bootstrap>:966(_find_and_load)
    598/4    0.002    0.000    0.327    0.082 <frozen importlib._bootstrap>:936(_find_and_load_unlocked)
    424/5    0.002    0.000    0.327    0.065 <frozen importlib._bootstrap>:651(_load_unlocked)
    358/5    0.001    0.000    0.327    0.065 <frozen importlib._bootstrap_external>:672(exec_module)
    639/5    0.000    0.000    0.326    0.065 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
       26    0.002    0.000    0.292    0.011 model_comprehension1.py:135(display)
      293    0.287    0.001    0.287    0.001 model_comprehension1.py:78(get_word)
        1    0.000    0.000    0.252    0.252 model_comprehension1.py:250(global_data_loader)
       15    0.000    0.000    0.250    0.017 threading.py:533(wait)
       14    0.000    0.000    0.250    0.018 threading.py:263(wait)
       61    0.250    0.004    0.250    0.004 {method 'acquire' of '_thread.lock' objects}
        3    0.000    0.000    0.249    0.083 pool.py:637(get)
        3    0.000    0.000    0.249    0.083 pool.py:634(wait)
   444/67    0.001    0.000    0.228    0.003 {built-in method builtins.__import__}
        3    0.000    0.000    0.226    0.075 __init__.py:5(<module>)
2154/1185    0.002    0.000    0.187    0.000 <frozen importlib._bootstrap>:997(_handle_fromlist)
       29    0.000    0.000    0.151    0.005 __init__.py:1(<module>)
        1    0.000    0.000    0.146    0.146 api.py:5(<module>)
        1    0.000    0.000    0.127    0.127 groupby.py:1(<module>)
        1    0.000    0.000    0.098    0.098 __init__.py:106(<module>)
        1    0.000    0.000    0.097    0.097 frame.py:10(<module>)
      358    0.002    0.000    0.084    0.000 <frozen importlib._bootstrap_external>:743(get_code)
        1    0.000    0.000    0.080    0.080 add_newdocs.py:10(<module>)
        1    0.000    0.000    0.076    0.076 series.py:3(<module>)
        3    0.000    0.000    0.071    0.024 __init__.py:3(<module>)
        1    0.000    0.000    0.066    0.066 _core.py:3(<module>)
        1    0.000    0.000    0.064    0.064 type_check.py:3(<module>)
        1    0.000    0.000    0.064    0.064 _converter.py:1(<module>)
1185/1173    0.021    0.000    0.061    0.000 {built-in method builtins.__build_class__}
      357    0.001    0.000    0.054    0.000 <frozen importlib._bootstrap_external>:485(_compile_bytecode)
      357    0.052    0.000    0.052    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.045    0.045 __init__.py:101(<module>)
  421/412    0.001    0.000    0.042    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
        1    0.000    0.000    0.037    0.037 __init__.py:25(<module>)
      537    0.003    0.000    0.035    0.000 <frozen importlib._bootstrap>:870(_find_spec)
      780    0.001    0.000    0.034    0.000 re.py:286(_compile)
        2    0.000    0.000    0.033    0.017 __init__.py:7(<module>)
        1    0.000    0.000    0.033    0.033 rcsetup.py:15(<module>)
       26    0.005    0.000    0.032    0.001 model_comprehension1.py:353(evaluate_modelisation)
    43/37    0.000    0.000    0.032    0.001 <frozen importlib._bootstrap_external>:919(create_module)
      122    0.000    0.000    0.032    0.000 re.py:231(compile)
    43/37    0.019    0.000    0.032    0.001 {built-in method _imp.create_dynamic}
      119    0.001    0.000    0.031    0.000 sre_compile.py:557(compile)
     7245    0.009    0.000    0.031    0.000 fromnumeric.py:2222(amax)
        1    0.000    0.000    0.030    0.030 fontconfig_pattern.py:7(<module>)
      517    0.000    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:1149(find_spec)
      517    0.002    0.000    0.028    0.000 <frozen importlib._bootstrap_external>:1117(_get_spec)
        7    0.000    0.000    0.027    0.004 api.py:3(<module>)
      748    0.006    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
      678    0.002    0.000    0.022    0.000 textwrap.py:414(dedent)
      616    0.001    0.000    0.022    0.000 _decorators.py:240(__call__)
     7245    0.002    0.000    0.022    0.000 _methods.py:25(_amax)
        1    0.000    0.000    0.021    0.021 index.py:2(<module>)
        1    0.000    0.000    0.020    0.020 api.py:1(<module>)
     7271    0.020    0.000    0.020    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        2    0.000    0.000    0.020    0.010 __init__.py:45(<module>)
        1    0.000    0.000    0.019    0.019 pyparsing.py:61(<module>)
        1    0.000    0.000    0.018    0.018 client.py:69(<module>)
        1    0.000    0.000    0.018    0.018 dates.py:114(<module>)
      528    0.005    0.000    0.017    0.000 {built-in method builtins.print}
      119    0.001    0.000    0.016    0.000 sre_parse.py:844(parse)
